SourceSchema;SourceTableName;SourceColumnName;SourceDataType;SourceColumnPrimaryKey;TransformationLogic;DestinationSchema;DestinationTableName;DestinationColumnName;DestinationDataType;DestinationColumnPrimaryKey
dbo;F4101;IMLOTS;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;LOTSTATUSCODE;VARCHAR(1);
dbo;F4101;IMSLD;float;;DirectMove;SRC_JDEE1;ITEMMASTER;SHELFLIFEDAYS;NUMERIC(6,0);
dbo;F4101;IMANPL;float;;DirectMove;SRC_JDEE1;ITEMMASTER;ADDRESSNUMBERPLANNER;NUMERIC(8,0);
dbo;F4101;IMMPST;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;PLANNINGCODE;VARCHAR(1);
dbo;F4101;IMPCTM;float;;DirectMove;SRC_JDEE1;ITEMMASTER;PERCENTMARGIN;NUMERIC(7,0);
dbo;F4101;IMMMPC;float;;DirectMove;SRC_JDEE1;ITEMMASTER;MARGINMAINTENANCEPER;NUMERIC(7,0);
dbo;F4101;IMPTSC;nchar(2);;DirectMove;SRC_JDEE1;ITEMMASTER;PARTSTATUSCODE;VARCHAR(2);
dbo;F4101;IMSNS;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;STOCKNONSTOCK;VARCHAR(1);
dbo;F4101;IMLTLV;float;;DirectMove;SRC_JDEE1;ITEMMASTER;LEADTIMELEVEL;NUMERIC(5,0);
dbo;F4101;IMLTMF;float;;DirectMove;SRC_JDEE1;ITEMMASTER;LEADTIMEMFG;NUMERIC(5,0);
dbo;F4101;IMLTCM;float;;DirectMove;SRC_JDEE1;ITEMMASTER;LEADTIMECUM;NUMERIC(5,0);
dbo;F4101;IMOPC;nchar(1);;DirectMove;SRC_JDEE1;ITEMMASTER;ORDERPOLICYCODE;VARCHAR(1);
dbo;F4101;IMURDT;numeric(18,0);;JulianDateToDate();;;USERRESERVEDDATE_DATE;DATETIME;
dbo;F4101;IMURDT;numeric(18,0);;toYYYYMM(JulianDateToDate());;;USERRESERVEDDATE_YM;int;
dbo;F4101;IMUPMJ;numeric(18,0);;JulianDateToDate();;;DATEUPDATED_DATE;DATETIME;
dbo;F4101;IMUPMJ;numeric(18,0);;toYYYYMM(JulianDateToDate());;;DATEUPDATED_YM;int;
dbo;F4101;IMITM;float;;toTrim();;;IDENTIFIERSHORTITEM_TRIM;NUMERIC(8,0);
